User @,Comment Text,Time,Likes,Url
anandjij,max solos,30-12-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
thedolord,Me personally I would get the Apple AirPod max,21-10-2023,7,https://www.tiktok.com/@tussalty/video/7291715930495651118
vedukka,does it have any micropohen,15-12-2023,4,https://www.tiktok.com/@tussalty/video/7291715930495651118
pharrell_____,Multiple,20-12-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
mostlikelyseen,My mom won’t buy anything headphones over 20 dollars,20-10-2023,18,https://www.tiktok.com/@tussalty/video/7291715930495651118
wolf.king800,Compare them to the AirPod max or Bose quietcomfort ultra,24-10-2023,5,https://www.tiktok.com/@tussalty/video/7291715930495651118
gdelarosa_,400 is crazy 💀,20-10-2023,33,https://www.tiktok.com/@tussalty/video/7291715930495651118
yusufdtk,So it ain’t crazy for Apple,20-10-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
mujtaba_nazari12,bros never heard of sony😭💀 ever heard of playstation?,20-10-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
95zakariya,he never said he hasn’t heard of sony he’s just saying 400 is crazy,19-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
mujtaba_nazari12,yh ik I'm just saying that Sony's a big brand so ofc they're gonna overcharge,19-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
g_u_r_i_2_2_3,I love headphones that got a matte finish😭🙏,24-10-2023,6,https://www.tiktok.com/@tussalty/video/7291715930495651118
drew_xxi,these are the best headphones out there. but their design isn't convenient. I'd suggest getting the XM4s which are nearly identical in quality/design,20-10-2023,118,https://www.tiktok.com/@tussalty/video/7291715930495651118
gabrieel.l,I can tell if they look good or not,20-10-2023,27,https://www.tiktok.com/@tussalty/video/7291715930495651118
astroo.ryann,the xm4s look sm better,10-11-2023,2,https://www.tiktok.com/@tussalty/video/7291715930495651118
lvrxby.xo,FRRRRR I like the beige one but I hate the yellow sony logo I wish it was js black or the same color 😭,12-11-2023,1,https://www.tiktok.com/@tussalty/video/7291715930495651118
shadowdemon4277,I follow you please can I have a pc,20-10-2023,9,https://www.tiktok.com/@tussalty/video/7291715930495651118
slowtiggy,No u broke lil bro,26-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
shadowdemon4277,Yeah,26-11-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
mmmakerrr,I’m actually here for the giveaway but there video has 18.8k comments so I’ll put my reasons here,20-10-2023,14,https://www.tiktok.com/@tussalty/video/7291715930495651118
mmmakerrr,"I want to start witch streaming, but I don’t have enough money for PC and I want to do content like gaming or cool edit and I really like video games",20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
mmmakerrr,I hope you see this 😅,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
tussalty,What would y’all rate these? 👀,20-10-2023,39,https://www.tiktok.com/@tussalty/video/7291715930495651118
gd_alex_gd,9/10,25-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
gwn.max.je.weet.toch,8 10,23-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
npc.duckyxs,7/10 whmx4 is cheaper,21-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
david.frenkel99,sennheiser better,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
the....only...1,to be honest it's a 8/10,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
.whiteboycam08,7/10 👍,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
red6174wolf,From the vid I’d say 7 don’t like the style tbh,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
mitcheldewlal_m5,10,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
2amboxed_u,wait i get my coment liled by u and it said i won did i,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
luiz_chuchoo,8/10 just cause of price 😭,20-10-2023,0,https://www.tiktok.com/@tussalty/video/7291715930495651118
